feedback_id,customer_id,date,rating,comment
F00001,C0428,2025-01-08,1,Appreciate the quick refund process.
F00002,C0112,2024-09-28,3,Love the fast delivery and packaging.
F00003,C0316,2025-06-28,4,Product quality is not as described.
F00004,C0446,2025-03-20,5,Disappointed with the return process.
F00005,C0343,2024-08-03,2,App is very slow and keeps freezing.
F00006,C0145,2024-12-11,5,Appreciate the quick refund process.
F00007,C0065,2024-12-07,4,Website UI is confusing to navigate.
F00008,C0247,2024-09-10,3,Very satisfied with the product and support.
F00009,C0223,2024-11-03,4,Very satisfied with the product and support.
F00010,C0479,2025-01-25,4,"Great shopping experience, will definitely return."
F00011,C0490,2024-08-06,5,App is very slow and keeps freezing.
F00012,C0313,2024-10-08,2,Product quality is not as described.
F00013,C0439,2024-09-22,4,Product quality is not as described.
F00014,C0106,2025-03-13,5,Customer service was very helpful and quick.
F00015,C0181,2024-09-26,2,Very satisfied with the product and support.
F00016,C0184,2024-11-20,3,Disappointed with the return process.
F00017,C0226,2025-03-25,3,App is very slow and keeps freezing.
F00018,C0265,2025-04-19,1,Product quality is not as described.
F00019,C0278,2024-12-30,5,Customer service was very helpful and quick.
F00020,C0397,2024-07-22,2,App is very slow and keeps freezing.
F00021,C0089,2025-06-16,4,I had to cancel my order due to a technical glitch.
F00022,C0176,2024-12-31,3,Product quality is not as described.
F00023,C0018,2024-08-08,2,I had to cancel my order due to a technical glitch.
F00024,C0371,2025-06-05,5,App is very slow and keeps freezing.
F00025,C0460,2024-10-16,1,Product quality is not as described.
F00026,C0424,2025-03-03,3,I had to cancel my order due to a technical glitch.
F00027,C0401,2025-02-03,2,Love the fast delivery and packaging.
F00028,C0399,2024-11-01,2,Customer service was very helpful and quick.
F00029,C0106,2025-02-14,2,Disappointed with the return process.
F00030,C0271,2024-09-13,5,Very satisfied with the product and support.
F00031,C0463,2024-09-06,5,Customer service was very helpful and quick.
F00032,C0319,2025-02-10,5,I had to cancel my order due to a technical glitch.
F00033,C0167,2024-11-13,4,Product quality is not as described.
F00034,C0013,2024-08-04,2,Love the fast delivery and packaging.
F00035,C0337,2024-08-25,3,Love the fast delivery and packaging.
F00036,C0032,2025-04-04,5,Very satisfied with the product and support.
F00037,C0393,2024-08-07,5,Love the fast delivery and packaging.
F00038,C0040,2024-12-19,2,Customer service was very helpful and quick.
F00039,C0148,2025-01-30,5,Appreciate the quick refund process.
F00040,C0218,2025-02-05,4,Love the fast delivery and packaging.
F00041,C0219,2024-07-19,4,Very satisfied with the product and support.
F00042,C0469,2025-03-10,5,Love the fast delivery and packaging.
F00043,C0082,2025-04-18,2,Love the fast delivery and packaging.
F00044,C0333,2024-09-16,2,Website UI is confusing to navigate.
F00045,C0208,2025-04-20,2,Customer service was very helpful and quick.
F00046,C0201,2025-07-10,1,I had to cancel my order due to a technical glitch.
F00047,C0447,2024-11-14,5,"Great shopping experience, will definitely return."
F00048,C0332,2024-12-03,2,Appreciate the quick refund process.
F00049,C0428,2024-07-27,4,Love the fast delivery and packaging.
F00050,C0038,2024-09-06,3,Disappointed with the return process.
F00051,C0211,2025-06-28,3,Love the fast delivery and packaging.
F00052,C0444,2024-08-22,2,Website UI is confusing to navigate.
F00053,C0327,2025-04-04,3,I had to cancel my order due to a technical glitch.
F00054,C0249,2024-10-11,3,Disappointed with the return process.
F00055,C0227,2024-07-15,1,Appreciate the quick refund process.
F00056,C0048,2024-12-08,4,Disappointed with the return process.
F00057,C0018,2024-07-14,4,Customer service was very helpful and quick.
F00058,C0400,2025-02-16,1,Very satisfied with the product and support.
F00059,C0439,2024-08-04,1,Very satisfied with the product and support.
F00060,C0295,2025-05-25,3,Appreciate the quick refund process.
F00061,C0196,2024-12-10,5,I had to cancel my order due to a technical glitch.
F00062,C0187,2025-05-07,3,Very satisfied with the product and support.
F00063,C0345,2025-02-18,1,App is very slow and keeps freezing.
F00064,C0224,2024-08-28,4,Website UI is confusing to navigate.
F00065,C0318,2025-06-10,3,Appreciate the quick refund process.
F00066,C0488,2024-10-08,5,Appreciate the quick refund process.
F00067,C0397,2025-05-04,3,"Great shopping experience, will definitely return."
F00068,C0365,2025-03-14,2,"Great shopping experience, will definitely return."
F00069,C0337,2024-07-26,3,Customer service was very helpful and quick.
F00070,C0497,2025-02-16,1,Customer service was very helpful and quick.
F00071,C0229,2025-02-09,4,"Great shopping experience, will definitely return."
F00072,C0390,2024-08-10,4,Very satisfied with the product and support.
F00073,C0467,2024-07-20,1,Product quality is not as described.
F00074,C0077,2025-03-21,2,Appreciate the quick refund process.
F00075,C0188,2025-05-29,1,App is very slow and keeps freezing.
F00076,C0346,2025-07-01,3,Appreciate the quick refund process.
F00077,C0270,2025-01-14,1,Love the fast delivery and packaging.
F00078,C0095,2025-07-11,1,I had to cancel my order due to a technical glitch.
F00079,C0310,2025-02-19,2,Website UI is confusing to navigate.
F00080,C0132,2025-03-20,3,Product quality is not as described.
F00081,C0039,2024-12-09,5,App is very slow and keeps freezing.
F00082,C0072,2024-10-30,5,Love the fast delivery and packaging.
F00083,C0281,2025-04-05,4,Customer service was very helpful and quick.
F00084,C0333,2025-03-09,1,App is very slow and keeps freezing.
F00085,C0160,2024-12-10,4,"Great shopping experience, will definitely return."
F00086,C0187,2025-01-03,2,Appreciate the quick refund process.
F00087,C0486,2025-07-01,5,App is very slow and keeps freezing.
F00088,C0191,2025-04-29,1,I had to cancel my order due to a technical glitch.
F00089,C0422,2024-10-13,2,Disappointed with the return process.
F00090,C0120,2025-04-04,2,Customer service was very helpful and quick.
F00091,C0220,2025-01-19,1,Website UI is confusing to navigate.
F00092,C0053,2025-03-07,2,Website UI is confusing to navigate.
F00093,C0222,2024-10-18,1,App is very slow and keeps freezing.
F00094,C0451,2024-11-24,1,Disappointed with the return process.
F00095,C0412,2025-03-17,3,Appreciate the quick refund process.
F00096,C0131,2025-01-05,4,Love the fast delivery and packaging.
F00097,C0237,2025-01-15,2,Product quality is not as described.
F00098,C0246,2025-07-05,2,Appreciate the quick refund process.
F00099,C0226,2025-06-26,3,Love the fast delivery and packaging.
F00100,C0208,2024-09-10,3,Product quality is not as described.
F00101,C0406,2025-01-05,3,Disappointed with the return process.
F00102,C0096,2025-02-06,5,Product quality is not as described.
F00103,C0422,2025-06-19,5,Appreciate the quick refund process.
F00104,C0200,2024-11-29,5,I had to cancel my order due to a technical glitch.
F00105,C0247,2024-10-07,1,App is very slow and keeps freezing.
F00106,C0072,2024-09-07,2,Love the fast delivery and packaging.
F00107,C0318,2024-11-01,4,I had to cancel my order due to a technical glitch.
F00108,C0185,2025-03-17,1,Love the fast delivery and packaging.
F00109,C0006,2025-04-22,2,App is very slow and keeps freezing.
F00110,C0206,2024-09-18,2,Very satisfied with the product and support.
F00111,C0032,2024-12-10,3,Product quality is not as described.
F00112,C0099,2024-10-20,3,Disappointed with the return process.
F00113,C0394,2025-06-20,1,Very satisfied with the product and support.
F00114,C0387,2024-09-13,3,Very satisfied with the product and support.
F00115,C0256,2024-12-02,2,Website UI is confusing to navigate.
F00116,C0187,2025-04-26,3,"Great shopping experience, will definitely return."
F00117,C0076,2024-07-21,5,Appreciate the quick refund process.
F00118,C0177,2024-12-27,3,I had to cancel my order due to a technical glitch.
F00119,C0315,2025-05-21,2,I had to cancel my order due to a technical glitch.
F00120,C0287,2024-11-06,1,I had to cancel my order due to a technical glitch.
F00121,C0349,2024-09-06,4,I had to cancel my order due to a technical glitch.
F00122,C0255,2024-07-29,3,Appreciate the quick refund process.
F00123,C0325,2025-01-07,2,Very satisfied with the product and support.
F00124,C0190,2024-12-19,4,Appreciate the quick refund process.
F00125,C0308,2025-04-15,4,I had to cancel my order due to a technical glitch.
F00126,C0345,2025-06-19,5,"Great shopping experience, will definitely return."
F00127,C0127,2025-02-08,4,Customer service was very helpful and quick.
F00128,C0425,2025-06-08,2,App is very slow and keeps freezing.
F00129,C0287,2024-10-09,2,I had to cancel my order due to a technical glitch.
F00130,C0254,2024-12-16,3,Disappointed with the return process.
F00131,C0213,2024-08-30,3,Customer service was very helpful and quick.
F00132,C0250,2025-06-04,3,Appreciate the quick refund process.
F00133,C0084,2025-03-13,4,Disappointed with the return process.
F00134,C0487,2024-11-27,4,Disappointed with the return process.
F00135,C0383,2024-10-01,5,Love the fast delivery and packaging.
F00136,C0406,2025-07-13,3,Disappointed with the return process.
F00137,C0388,2024-12-17,1,I had to cancel my order due to a technical glitch.
F00138,C0013,2024-12-23,5,Love the fast delivery and packaging.
F00139,C0045,2025-06-21,1,Website UI is confusing to navigate.
F00140,C0127,2024-12-22,4,Very satisfied with the product and support.
F00141,C0426,2025-01-07,5,Disappointed with the return process.
F00142,C0114,2025-04-23,5,"Great shopping experience, will definitely return."
F00143,C0433,2025-01-04,2,App is very slow and keeps freezing.
F00144,C0276,2025-01-01,4,Disappointed with the return process.
F00145,C0500,2024-12-10,4,Website UI is confusing to navigate.
F00146,C0205,2025-01-09,5,Product quality is not as described.
F00147,C0337,2024-12-01,4,Appreciate the quick refund process.
F00148,C0438,2024-11-21,5,Appreciate the quick refund process.
F00149,C0420,2024-11-16,2,Website UI is confusing to navigate.
F00150,C0481,2025-03-28,5,Product quality is not as described.
F00151,C0385,2024-12-14,4,Appreciate the quick refund process.
F00152,C0399,2024-09-02,4,Appreciate the quick refund process.
F00153,C0461,2025-04-19,5,Appreciate the quick refund process.
F00154,C0273,2025-02-03,5,Website UI is confusing to navigate.
F00155,C0408,2024-09-30,5,Very satisfied with the product and support.
F00156,C0058,2024-10-16,3,App is very slow and keeps freezing.
F00157,C0328,2024-10-05,4,Website UI is confusing to navigate.
F00158,C0498,2025-04-15,4,Product quality is not as described.
F00159,C0219,2024-09-25,3,Disappointed with the return process.
F00160,C0109,2025-02-18,5,Very satisfied with the product and support.
F00161,C0279,2024-09-26,2,Very satisfied with the product and support.
F00162,C0174,2025-06-17,5,Disappointed with the return process.
F00163,C0328,2025-04-22,5,"Great shopping experience, will definitely return."
F00164,C0264,2025-03-26,3,Love the fast delivery and packaging.
F00165,C0315,2025-05-13,4,App is very slow and keeps freezing.
F00166,C0474,2025-03-10,5,App is very slow and keeps freezing.
F00167,C0111,2024-12-01,4,"Great shopping experience, will definitely return."
F00168,C0187,2025-06-27,1,Love the fast delivery and packaging.
F00169,C0269,2025-01-08,4,App is very slow and keeps freezing.
F00170,C0423,2025-02-10,2,Product quality is not as described.
F00171,C0229,2025-06-12,2,Customer service was very helpful and quick.
F00172,C0497,2025-05-05,5,Customer service was very helpful and quick.
F00173,C0156,2025-05-16,4,App is very slow and keeps freezing.
F00174,C0473,2024-12-18,5,I had to cancel my order due to a technical glitch.
F00175,C0189,2024-12-05,3,App is very slow and keeps freezing.
F00176,C0272,2025-03-20,2,Disappointed with the return process.
F00177,C0375,2024-11-09,5,Disappointed with the return process.
F00178,C0002,2024-10-03,3,Love the fast delivery and packaging.
F00179,C0246,2024-12-12,5,Appreciate the quick refund process.
F00180,C0210,2024-09-05,4,Very satisfied with the product and support.
F00181,C0401,2025-01-11,4,Product quality is not as described.
F00182,C0286,2024-08-24,4,"Great shopping experience, will definitely return."
F00183,C0359,2025-02-08,4,App is very slow and keeps freezing.
F00184,C0013,2025-03-23,1,Appreciate the quick refund process.
F00185,C0096,2025-01-04,3,Appreciate the quick refund process.
F00186,C0498,2024-11-06,3,Product quality is not as described.
F00187,C0221,2025-06-29,4,"Great shopping experience, will definitely return."
F00188,C0238,2025-06-01,1,Disappointed with the return process.
F00189,C0094,2025-05-09,4,Website UI is confusing to navigate.
F00190,C0338,2025-06-15,1,Product quality is not as described.
F00191,C0269,2025-03-12,4,Appreciate the quick refund process.
F00192,C0171,2024-12-20,2,Customer service was very helpful and quick.
F00193,C0469,2024-08-01,2,App is very slow and keeps freezing.
F00194,C0094,2024-09-28,5,Love the fast delivery and packaging.
F00195,C0149,2024-10-05,4,Customer service was very helpful and quick.
F00196,C0112,2024-11-21,3,Appreciate the quick refund process.
F00197,C0055,2025-02-12,5,Very satisfied with the product and support.
F00198,C0337,2025-06-23,2,I had to cancel my order due to a technical glitch.
F00199,C0424,2024-09-11,4,"Great shopping experience, will definitely return."
F00200,C0467,2025-03-26,5,Disappointed with the return process.
F00201,C0116,2024-12-09,4,App is very slow and keeps freezing.
F00202,C0143,2025-07-11,2,Love the fast delivery and packaging.
F00203,C0201,2025-01-29,5,Website UI is confusing to navigate.
F00204,C0180,2024-12-27,2,Disappointed with the return process.
F00205,C0202,2024-09-21,1,App is very slow and keeps freezing.
F00206,C0364,2025-01-01,2,Website UI is confusing to navigate.
F00207,C0479,2024-07-22,4,Love the fast delivery and packaging.
F00208,C0053,2025-04-08,3,Appreciate the quick refund process.
F00209,C0471,2024-10-01,2,I had to cancel my order due to a technical glitch.
F00210,C0384,2024-12-09,3,Customer service was very helpful and quick.
F00211,C0180,2025-02-18,1,Customer service was very helpful and quick.
F00212,C0414,2025-03-29,5,Appreciate the quick refund process.
F00213,C0417,2024-09-17,5,Disappointed with the return process.
F00214,C0313,2024-10-27,3,Appreciate the quick refund process.
F00215,C0308,2025-04-28,5,Appreciate the quick refund process.
F00216,C0137,2025-04-03,2,App is very slow and keeps freezing.
F00217,C0182,2025-02-16,3,App is very slow and keeps freezing.
F00218,C0367,2025-05-07,4,Love the fast delivery and packaging.
F00219,C0001,2024-09-11,2,I had to cancel my order due to a technical glitch.
F00220,C0044,2025-03-19,2,App is very slow and keeps freezing.
F00221,C0227,2024-12-16,2,Love the fast delivery and packaging.
F00222,C0331,2025-02-21,4,Very satisfied with the product and support.
F00223,C0098,2025-05-12,1,Appreciate the quick refund process.
F00224,C0208,2025-05-20,5,Appreciate the quick refund process.
F00225,C0265,2024-09-27,3,Disappointed with the return process.
F00226,C0288,2024-09-09,1,Very satisfied with the product and support.
F00227,C0271,2024-12-19,3,Disappointed with the return process.
F00228,C0140,2024-11-12,5,Website UI is confusing to navigate.
F00229,C0481,2025-01-10,4,Love the fast delivery and packaging.
F00230,C0237,2024-10-16,2,Love the fast delivery and packaging.
F00231,C0462,2025-06-15,2,Appreciate the quick refund process.
F00232,C0441,2025-04-25,4,Product quality is not as described.
F00233,C0392,2024-09-01,1,Website UI is confusing to navigate.
F00234,C0072,2025-05-05,1,Love the fast delivery and packaging.
F00235,C0155,2025-07-09,3,App is very slow and keeps freezing.
F00236,C0190,2025-01-18,4,Appreciate the quick refund process.
F00237,C0268,2024-11-12,1,Disappointed with the return process.
F00238,C0321,2025-03-07,4,Very satisfied with the product and support.
F00239,C0107,2025-07-10,5,Disappointed with the return process.
F00240,C0232,2025-05-05,2,Customer service was very helpful and quick.
F00241,C0042,2025-03-07,2,Product quality is not as described.
F00242,C0190,2025-02-04,2,Love the fast delivery and packaging.
F00243,C0371,2025-04-24,4,I had to cancel my order due to a technical glitch.
F00244,C0139,2025-03-13,4,"Great shopping experience, will definitely return."
F00245,C0103,2025-06-18,3,Product quality is not as described.
F00246,C0171,2024-07-26,2,Appreciate the quick refund process.
F00247,C0351,2025-04-01,3,Love the fast delivery and packaging.
F00248,C0273,2024-08-19,2,Very satisfied with the product and support.
F00249,C0481,2025-05-14,3,Love the fast delivery and packaging.
F00250,C0416,2024-08-07,3,"Great shopping experience, will definitely return."
F00251,C0221,2024-08-15,5,Very satisfied with the product and support.
F00252,C0213,2024-07-21,3,Disappointed with the return process.
F00253,C0341,2024-07-16,4,Very satisfied with the product and support.
F00254,C0424,2025-07-05,3,Product quality is not as described.
F00255,C0407,2025-06-12,2,Disappointed with the return process.
F00256,C0056,2025-06-15,3,Love the fast delivery and packaging.
F00257,C0390,2024-08-02,1,Appreciate the quick refund process.
F00258,C0342,2024-11-18,2,Website UI is confusing to navigate.
F00259,C0434,2025-06-09,1,Appreciate the quick refund process.
F00260,C0102,2024-08-16,2,Love the fast delivery and packaging.
F00261,C0421,2024-11-11,4,"Great shopping experience, will definitely return."
F00262,C0493,2025-07-09,4,Website UI is confusing to navigate.
F00263,C0192,2025-06-28,4,Love the fast delivery and packaging.
F00264,C0499,2024-11-28,1,I had to cancel my order due to a technical glitch.
F00265,C0310,2024-09-29,5,Product quality is not as described.
F00266,C0200,2025-04-27,2,I had to cancel my order due to a technical glitch.
F00267,C0233,2024-09-09,4,Disappointed with the return process.
F00268,C0433,2024-10-03,2,Customer service was very helpful and quick.
F00269,C0227,2024-11-09,1,Love the fast delivery and packaging.
F00270,C0371,2025-06-04,5,App is very slow and keeps freezing.
F00271,C0139,2024-08-07,1,App is very slow and keeps freezing.
F00272,C0344,2024-11-30,2,Very satisfied with the product and support.
F00273,C0305,2025-03-12,5,Appreciate the quick refund process.
F00274,C0149,2025-07-01,5,Appreciate the quick refund process.
F00275,C0115,2024-11-12,1,Appreciate the quick refund process.
F00276,C0450,2025-02-24,4,I had to cancel my order due to a technical glitch.
F00277,C0063,2025-06-29,2,Product quality is not as described.
F00278,C0104,2025-05-30,3,Love the fast delivery and packaging.
F00279,C0339,2025-01-02,3,"Great shopping experience, will definitely return."
F00280,C0359,2025-01-13,1,Very satisfied with the product and support.
F00281,C0156,2024-11-21,2,Disappointed with the return process.
F00282,C0273,2025-04-12,2,Website UI is confusing to navigate.
F00283,C0006,2024-09-19,1,Disappointed with the return process.
F00284,C0147,2024-11-02,2,Love the fast delivery and packaging.
F00285,C0184,2024-11-07,4,Customer service was very helpful and quick.
F00286,C0486,2024-08-21,1,Appreciate the quick refund process.
F00287,C0028,2025-05-20,4,Website UI is confusing to navigate.
F00288,C0450,2025-02-16,2,I had to cancel my order due to a technical glitch.
F00289,C0038,2024-09-13,1,Love the fast delivery and packaging.
F00290,C0119,2025-06-27,2,Customer service was very helpful and quick.
F00291,C0293,2025-06-19,1,I had to cancel my order due to a technical glitch.
F00292,C0371,2024-09-10,2,Customer service was very helpful and quick.
F00293,C0244,2024-09-14,4,Appreciate the quick refund process.
F00294,C0068,2024-12-21,4,I had to cancel my order due to a technical glitch.
F00295,C0214,2024-08-27,2,Product quality is not as described.
F00296,C0218,2025-02-04,1,App is very slow and keeps freezing.
F00297,C0177,2025-07-01,3,Disappointed with the return process.
F00298,C0299,2025-03-10,4,Product quality is not as described.
F00299,C0164,2024-12-19,4,Website UI is confusing to navigate.
F00300,C0058,2024-09-12,3,Very satisfied with the product and support.
F00301,C0269,2025-02-16,2,App is very slow and keeps freezing.
